,word,context,label,is_equivalent
0,ключ,"Один из ведущих разработчиков анонимной сети Tor Майк Перри представил прототип защищенного смартфона на базе Nexus 6P и 5Х под названием Mission Improbable, пишет Android Authority. Программное обеспечение устройства создано на основе Copperhead OS и приложения OrWall, которое отправляет сетевой трафик через Tor. Создатели Mission Improbable отмечают, что смартфон рассчитан на продвинутых пользователей, которые хотят сохранить анонимность в сети. Рядовым юзерам будет сложно пользоваться устройством, так как для его установки требуются знания Linux. Перри рассказывает, что их ПО на данный момент подходит только для работы с «гуглофонами» серий Nexus и Pixel, так как только они позволяют устанавливать собственные ключи, сохранив защищенную файловую систему и возможность модифицировать смартфон. Устройство служит лишь демонстрацией возможностей по созданию защищенного телефона. Любой желающий может ознакомиться с системой и установить ее на собственный смартфон.",2,0
1,ключ,"Российский премьер Михаил Фрадков намерен на заседании правительства РФ поднять вопрос о привлечении частного капитала к строительству дорог, каналов, шлюзов, портов и вокзалов. Как пишет в четверг ""Коммерсант"", это станет новой для России формой привлечения инвестиций в значимые для государства проекты, получившей название ""государственно-частное партнерство"" (ГЧП). Для Фрадкова, который и привнес это новшество, отмечает газета, ГЧП - это универсальный ключ, с помощью которого правительство должно справиться с любыми задачами независимо от того, хватит ли у него на это денег. В западных странах такая модель используется уже давно. Примеры использования ГЧП уже есть и в России: ""ЛУКОЙЛ"" построил в порту Высоцк Ленинградской области, принадлежащем государству, терминалы, рассчитанные на экспорт в США 11 миллионов тонн нефтепродуктов в год. Более того, нефтекомпания построила еще и железнодорожную ветку к терминалам протяженностью 19 километров, передав ее на баланс ОАО ""Российские железные дороги"". На условиях ГЧП строится и пассажирский порт на Васильевском острове. В России, где государство обладает монополией на оказание транспортных услуг, власти готовы делиться доступом к ним на возмездной основе. В настоящий момент из бюджета оплачивается 60 процентов инвестиций в транспортный комплекс, но уже к 2013 году соотношение предлагается перевернуть в пользу частного капитала. При этом дороги останутся в госсобственности, но частные инвесторы получат право взимать плату за проезд по ним, пока их затраты не окупятся. В соответствии с этим планом новое шоссе Москва–Санкт-Петербург, если будет построено, станет платным. На заседании правительства, пишет далее ""Коммерсант"", будет поднят вопрос о скорейшем принятии законов о концессиях как основной формы ГЧП, а также законов о платных автодорогах и морских портах. Газета полагает, что в четверг идея использования ГЧП в инфраструктурной сфере будет одобрена. Более того, Михаил Фрадков наверняка прикажет ускорить ее разработку и внедрение. По расчетам Минтранса, ежегодно на транспортную инфраструктуру надо выделять не менее 600 миллиардов рублей. Федеральный и региональные бюджеты могут выделить в несколько раз меньше.",2,0
2,ключ,"В пиратской версии графического редактора Adobe Photoshop CS4 для Mac OS обнаружена троянская программа OSX.Trojan.iServices.B, сообщает The Register со ссылкой на данные компании Intego, занимающейся разработкой антивирусных программ для компьютеров Apple. Троян OSX.Trojan.iServices.B содержится не в самой программе Photoshop CS4, а в файле, генерирующем ключ для ее активации. После запуска этого файла система просит ввести пароль администратора, затем троян устанавливается в компьютер. После этого злоумышленники могут получить полный контроль над компьютером пользователя. По данным Intego, с наиболее популярных торрент-порталов пиратскую версию Adobe Photoshop CS4 для Mac OS, содержащую троян, скачали как минимум пять тысяч человек. Для борьбы с  OSX.Trojan.iServices.B компания Intego рекомендует воспользоваться своими антивирусными продуктами VirusBarrier X4 или Х5. Несколько дней назад был обнаружен еще один троян для Mac OS - OSX.Trojan.iServices.A. Он содержался в пиратской версии офисного пакета iWork'09 и попал как минимум на 20 тысяч компьютеров.",2,0
3,ключ,"Jotto Gear представила новую универсальную пистолетную кобуру Biometric Handgun Holster, оснащенную замком со сканером отпечатков пальцев. Об этом сообщает The Firearm Blog со ссылкой на пресс-релиз американской компании. Сканер отпечатков пальцев соединен с кобурой проводом и может крепиться отдельно. Как отмечается, использовать устройство удобно, к примеру, в автомобиле, офисе или на прикроватной тумбочке: одной рукой можно быстро разблокировать кобуру, а второй — достать пистолет. Сканер может запомнить до 99 отпечатков пальцев. Сама кобура при этом совместима с большинством пистолетов, доступных на североамериканском рынке. Стоимость новинки — 397 долларов. Biometric Handgun Holster — дальнейшее развитие кобуры NRA Handgun Holster. Она также предотвращает использование пистолета посторонними и оснащена замком, который открывается ключом. На сайте Jotto Gear NRA Handgun Holster можно купить за 160 долларов.",2,0
4,ключ,"Основатель WhatsApp Ян Кум ответил на заявление главы Национального антикоррупционного бюро Украины (НАБУ) Артема Сытника о способностях «снимать информацию с Viber и WhatsApp». Выступил Кум в своем Twitter. «Специально для Артема Сытника: сквозное шифрование означает, что никто не может читать личные сообщения другого пользователя», — говорится в твите, часть которого была написана на русском языке. В сообщении также приводится ссылка на соответствующую статью в «Википедии». О возможностях спецслужб Украины снимать информацию с Viber и WhatsApp Сытник заявил 3 марта в интервью ZN.UA. Таким образом в бюро прокомментировали предложения президенту Украины Петру Порошенко от вице-президента США Джозефа Байдена отдельно оснастить НАБУ технической возможностью вести прослушку. Сооснователь WhatsApp Ян Борисович Кум родился в Киеве в 1976 году. В 1992 году эмигрировал в США вместе с матерью и бабушкой. Сквозное шифрование предполагает, что данные закодированы на всем пути передачи сообщения и ключами шифрования не обладает даже сервис, предоставляющий услугу. Такую технологию использует компания Apple в своем мессенджере iMessage и сервисе FaceTime, самый популярный мессенджер в мире WhatsApp, а также созданный командой основателя «ВКонтакте» Павла Дурова сервис Telegram.",2,0
5,ключ,"Председатель Госдумы Вячеслав Володин не нашел оснований усомниться в порядочности депутата Леонида Слуцкого, потому что обвинившие его в домогательствах девушки не предоставили фото- и аудиодоказательства. Об этом он заявил во время Петербургского международного экономического форума, сообщает «Дождь». «Фото и аудиозапись не были представлены. Расшифровка не дает объективного видения этой ситуации. Обвинения, которые строятся лишь на заявлениях, должны быть подтверждены. Если подтверждение будет, тогда мы будем разговаривать уже в другом ключе», — сказал Володин. Он напомнил, что 21 марта комиссия Госдумы по этике не нашла оснований, чтобы признать Слуцкого виновным в домогательствах из-за отсутствия доказательств. Володин не упомянул, что члены комиссии не захотели слушать аудиозапись, на которой слышно, как Слуцкий пристает к одной из девушек. Также они не стали читать расшифровку аудио. По словам парламентариев, они «не понимают, как с такими вещами вообще разбираться». Российские журналистки Фарида Рустамова, Дарья Жук и Екатерина Котрикадзе утверждают, что Леонид Слуцкий приставал к ним. Сам он отвергает эти обвинения. После решения думской комиссии многие издания, в том числе «Лента.ру», объявили депутату бойкот. В феврале в Думе обсуждался вопрос необходимости юридически определить, что считать приставаниями и домогательствами на работе. Депутаты не стали развивать дискуссию, посчитав, что уточнять такие термины не обязательно.",3,0
6,ключ,"Государственный секретарь США Кондолиза Райс заявила, что США готовы помочь палестинцам в подготовке и обучении вооруженных сил. Она подчеркнула, что палестинские силы безопасности должны быть объединенными и служить решением, а не возникновением проблем в регионе. Как сообщает газета Haaretz, с таким заявлением она выступила на пресс-конференции в Лондоне, после встречи с министром иностранных дел Англии Джеком Стро. ""Силы безопасности Палестины, поежде всего должны быть объединены. Как говорят сами палестинцы, - подчеркнула она, - должна быть ""одна власть, одна армия"""". Райс отметила, что международное сообщество должно предпринимать усилия для снятия напряженности и помогать Палестинской автономии строить государственность. ""Соединенные Штаты, - сказала Райс, - готовы сыграть свою роль в этом вопросе и помочь палестинцам в подготовке сил безопасности, убедившись, что эти силы будут служить ключом к разрешению проблем, а не возникновением таковых"". Однако Райс подчеркнула, что США не будут брать на себя ведущую роль на переговорах между Палестиной и Израилем. Она подтвердила, что не собирается присутствовать на саммите в Шарм-эль-Шейхе 8 февраля: ""Мы не должны брать на себя всю работу. Исключительно важно, чтобы стороны сами взяли на себя ответственность"". Госдепартамент США в официальном заявлении подчеркнул, что отсутствие Кондолизы Райс на встрече в Египте не должно рассматриваться, как отказ государственного секретаря от участия в ближневосточном процессе урегулирования.",3,1
7,ключ,"Ключевой темой на ежегодной пресс-конференции президента России Владимира Путина станет колебание курса рубля, а также возможные меры по наказанию виновных в валютных спекуляциях. Такое мнение в комментарии «Ленте.ру» высказал директор Международного института политической экспертизы Евгений Минченко. «Нас ждут в этой связи отставки, посадки, или же и то, и другое», — отметил политолог. По его словам, «сегодняшняя повестка дня — именно ситуация с рублем, остальное — это уже гарнир». Как поясняет эксперт, в недавнем послании Федеральному собранию глава государства дал понять, что будет контролировать ситуацию с валютными спекуляциями. «Тогда Путин высказался в таком ключе: у нас есть валютные спекулянты, мы их знаем и говорим сейчас — успокойтесь, ребята. Всем очевидно, что они не успокоились. После послания курс только рос. Значит, последуют кардинальные меры. Как-то будет неправильно, если безымянное зло уйдет от героя нации», — резюмировал Минченко. 18 декабря в 12:00 начнется ежегодная, десятая по счету, пресс-конференция президента России Владимира Путина. На мероприятие аккредитованы более 1200 журналистов из федеральных и региональных СМИ. «Лента.ру» ведет онлайн-трансляцию пресс-конференции. 4 декабря Владимир Путин обратился с посланием Федеральному собранию, в ходе которого, в частности, затронул экономическую ситуацию в стране. Так, российский лидер потребовал от Центробанка и правительства принять «жесткие меры» против спекулянтов на валютном рынке.",3,0
8,ключ,"Естественные монополии должны быть готовы вести себя скромнее, ограничив рост тарифов. Об этом, как сообщает РИА Новости, заявил в среду, 13 января, президент РФ Владимир Путин на встрече с главой Федеральной антимонопольной службы (ФАС) Игорем Артемьевым. «Нужно, чтобы они знали, были готовы, как вы правильно сказали, чтобы поскромнее себя вести — не в ущерб, естественно, качеству. Если мы хотим подавить инфляцию, в таком ключе и должны работать», — сказал Путин. Такое заявление президент сделал в ответ на слова Артемьева о том, что естественные монополии должны изменить свою политику, забыв о повышении тарифов выше инфляции. Он отметил, что благодаря системным изменениям тарифов у инфраструктурных компаний должно хватать денег на инвестиции. «Но они должны жить по средствам. Мы следим за тем, по какой цене они приобретают электроэнергию, строительные материалы — методом сравнительного анализа просто», — сказал глава ФАС. Артемьев также отметил, что впервые за многие годы темпы роста тарифов отстали от темпов инфляции. ФАС, по его словам, готова перейти на «формульное тарифообразование», позволяющее планировать тарифы на пять-семь лет вперед. В феврале 2015 года Артемьев предложил отменить закон о естественных монополиях от 1995 года, назвав его устаревшим. Он выразил уверенность данный закон противоречит закону о конкуренции, из-за чего «мы живем в прошлом веке», а также заявил, что государство должно проводить гораздо более жесткую позицию по отношению к естественным монополиям. Эта политика должна касаться и тарифного регулирования, и законодательства.",3,0
9,ключ,"Москва хочет видеть Евросоюз процветающим, предсказуемым и стабильным. Об этом заявил пресс-секретарь президента России, комментируя слова французского лидера Эммануэля Макрона о заинтересованности РФ в развале ЕС, передает «Интерфакс» в понедельник, 3 сентября. «Поскольку Евросоюз является основным торгово-экономическим партнером России по объему, но ему стремительно наступает ""на пятки"" Китай, то, конечно, и президент об этом также говорил, мы заинтересованы в том, чтобы пространство Евросоюза было развивающимся, процветающим, предсказуемым и стабильным», — сказал Песков. Представитель Кремля добавил, что эта позиция неоднократно озвучивалась российской властью. Он также отметил, что нынешнее состояние отношений между Россией и Евросоюзом зависит не от российской стороны. «Что касается отношения президента Путина к ЕС, то мы с сожалением констатируем, что не по инициативе России эти отношения находятся в изрядно ""подмороженном"" состоянии, что, как нам кажется, абсолютно не соответствует интересам ни стран-членов ЕС, ни Российской Федерации», — пояснил пресс-секретарь. Песков напомнил, что Владимир Путин не единожды заявлял о заинтересованности в улучшении отношений с европейскими партнерами. И в ряде областей, отметил он, взаимодействие идет в конструктивном ключе. Ранее в понедельник Эммануэль Макрон заявил, что уважает российского лидера, несмотря на то, что «мечта Путина — демонтировать ЕС». Макрон добавил, что не относит себя к одним из тех, кто считает целесообразным создать новые подходы к безопасности с Россией.",3,0
